12784422|VI39-6303019-7D6|20|RENTAS|M|94|CIUDAD DE MÉXICO|LA MAGDALENA CONTRERAS|CIUDAD DE MÉXICO|10580|FALLECIMIENTO|63819.53|1|0|RENTA|0|0|0
12784421|VI39-6302973-7D6|20|RENTAS|M|82|MÉXICO|TECÁMAC|TECAMAC DE FELIPE VILLANUEVA|55770|FALLECIMIENTO|161818.43|1|0|RENTA|0|0|0
12784420|VI39-6273123-7D6|20|RENTAS|M|85|NUEVO LEÓN|MONTERREY|MONTERREY|64850|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784419|VI39-6265395-7D6|20|RENTAS|F|83|NUEVO LEÓN|MONTERREY|MONTERREY|64610|FALLECIMIENTO|173726.5|1|0|RENTA|0|0|0
12784418|VI39-6265118-7D6|20|RENTAS|F|80|NUEVO LEÓN|MONTERREY|MONTERREY|64000|FALLECIMIENTO|125889.42|1|0|RENTA|0|0|0
12784417|VI39-6260314-7D6|20|RENTAS|M|83|NUEVO LEÓN|SANTIAGO|SANTIAGO|67330|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784416|VI39-6260307-7D6|20|RENTAS|M|88|NUEVO LEÓN|SAN PEDRO GARZA GARCÍA|SAN PEDRO GARZA GARCÍA|66220|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784415|VI39-6226504-7D6|20|RENTAS|M|87|GUANAJUATO|CELAYA|CELAYA|38040|FALLECIMIENTO|187210.56|1|0|RENTA|0|0|0
12784414|VI39-6220381-7D6|20|RENTAS|M|88|JALISCO|GUADALAJARA|GUADALAJARA|44420|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784413|VI39-6220341-7D6|20|RENTAS|M|80|JALISCO|ZAPOPAN|ZAPOPAN|45136|FALLECIMIENTO|258460.8|1|0|RENTA|0|0|0
12784412|VI39-6209476-7D6|20|RENTAS|F|87|CIUDAD DE MÉXICO|MIGUEL HIDALGO|CIUDAD DE MÉXICO|11850|FALLECIMIENTO|140209.19|1|0|RENTA|0|0|0
